GATA2_lev,PGR_lev,SOX17_lev 2,PGR_act,GATA2_act,P4_act
0.274,0.342,0.384,-0.730983565,-4.749181455,4.592833144
0.283,0.535,0.496,0.828155662,5.178621303,4.55304318
0.285,0.466,0.593,1.799338447,5.15234019,4.858932923
0.297,0.477,0.421,0.155803059,2.417800794,3.951443914
0.309,0.046,0.444,1.532757056,0.889081947,4.637002853
0.327,0.169,0.268,0.762576056,-1.077512662,-0.224457123
0.352,0.223,0.536,2.278919741,3.542796199,2.100332643
0.36,0.56,0.414,0.663270694,7.042504358,4.982206949
0.371,0.391,0.857,1.750916732,4.70632567,3.609605777
0.381,0.641,0.601,1.213862672,3.334923855,1.554798085
0.382,-0.134,0.384,2.291506442,3.402769062,-3.793129992
0.429,0.022,0.586,1.803013268,0.156012478,1.903458744
0.462,0.284,0.567,1.09898486,-0.608884524,-0.621044325
0.522,0.378,0.803,1.024657745,4.512376589,4.546115459
0.528,0.295,-0.014,0.834710706,-5.604327262,-5.854983561
0.532,0.694,0.534,2.269095514,6.937733707,7.312621451
0.595,0.463,0.491,1.264048346,2.864931538,5.356921038
0.666,0.748,0.673,0.994443402,6.64120436,4.379669929
0.685,0.494,0.414,1.232561991,5.910547765,7.771188051
0.724,0.453,0.298,0.985180564,3.200551615,5.504091157
0.771,0.856,0.471,-1.201552311,6.322630173,3.470439553
